,,,,,,,,,,,,
Rol de Procedimentos e Eventos em Saúde,,,,,,,,,,,,
"(RN 465/2021, vigente a partir de 01/04/2021, e suas alterações)",,,,,,,,,,,,
,,,,,,,,,,,,
PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,,AMB,,,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,,REF,,135,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM FISIOTERAPEUTA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,102,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA MÉDICA,,,,AMB,,,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA INICIAL,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA DE URGÊNCIA,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM PSICÓLOGO (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,137,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM PSICÓLOGO (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,105,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM PSICÓLOGO E/OU TERAPEUTA OCUPACIONAL (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,106,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,136,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM FONOAUDIÓLOGO (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,104,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,103,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,138,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM TERAPEUTA OCUPACIONAL (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,107,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE",,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL,,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO DOADOR,,,,,HCO,HSO,REF,PAC,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL,,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
"AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS)",,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA,,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
"FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO - PROUT)",,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PROFILAXIA: POLIMENTO CORONÁRIO,,,OD,,,,,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II__DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513_RN536_RN537.pdf,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,PAC,64,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO) ,536/2022,2022-05-06 00:00:00,,AMB,HCO,HSO,REF,,152,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO),https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,,,REF,PAC,54,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CARDIOTOCOGRAFIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,,,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,,,REF,,56,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO),https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,PAC,67,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,,,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
BIOFEEDBACK COM EMG,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
EXERCÍCIOS DE ORTÓPTICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,,,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REABILITAÇÃO LABIRÍNTICA,https://www.in.gov.br/en/web/dou/-/resolucao-normativa-ans-n-536-de-2-de-maio-de-2022-398111061,,,AMB,HCO,HSO,REF,,https://www.gov.br/ans/pt-br/arquivos/assuntos/consumidor/o-que-seu-plano-deve-cobrir/Anexo_II_DUT_2021_RN_465.2021_tea.br_RN473_RN477_RN478_RN480_RN513.pdf,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
